Tiempo;Objetos;Arquitectura;Efectos;Resolucion
135.85;65000;APU;AA-TR-RE;1920x1080
56.13;16000;APU;AA-TR-RE;1440x900
250.18;260000;APU;AA-TR-RE;1440x900
4.64;4000;APU;NA-TR-NA;1280x720
55.40;65000;APU;AA-NA-RE;1920x1080
4.61;4000;APU;NA-NA-NA;1920x1080
19.27;65000;APU;AA-NA-NA;1440x900
7.41;16000;APU;NA-TR-NA;1440x900
13.52;16000;APU;AA-NA-NA;1920x1080
30.58;16000;APU;AA-NA-RE;1920x1080
4.40;1000;APU;NA-NA-RE;1920x1080
4.66;16000;APU;NA-NA-NA;1280x720
6.75;1000;APU;AA-NA-NA;1920x1080
19.25;260000;APU;NA-TR-NA;1440x900
309.37;260000;APU;AA-TR-RE;1920x1080
14.98;4000;APU;AA-NA-RE;1920x1080
11.11;65000;APU;NA-NA-RE;1440x900
67.15;260000;APU;AA-TR-NA;1280x720
7.54;16000;APU;NA-TR-NA;1440x900
14.98;260000;APU;NA-NA-NA;1920x1080
